accession	gene_name
Q5FAM9	abeM
Q2FD83	qacEdelta1
O53166	RVBD_1475c
B5LX01	acr3
P0AE06	acrA
P31224	acrB
Q1LMP2	acrC
Q8ZN77	acrD
P24177	acrD
P24180	acrE
P24181	acrF
P0ACS9	acrR
Q52910	lnt
Q9X5X3	actP
Q9X5V3	actP
D5AU53	actP1
P32705	actP
A6UEL7	actR
Q52912	actS
Q93E20	adeA
Q93E19	adeB
Q93E18	adeC
Q67GM1	adeD
Q8GKU1	adeE
Q2FD82	29_161
Q2FD81	29_167
Q2FD80	29_170
Q2FD95	adeI
Q24LT7	adeJ
Q24LT6	adeK
A3M732	A1S_2303
B7H1T7	ABBFA_001467
C7F8K6	C7F8K6
C7F8K7	C7F8K7
Q8GGJ6	aioA
Q8GGJ7	aioB
Q2VGB1	aoxR
Q2VGB2	aoxS
G8XNW6	aioX
O52119	ALU1
C4PAW9	C4PAW9
P52145	arsA
O50593	arsA
P08690	arsA
P08691	arsB
P45946	arsB
P30329	arsB
Q01255	arsB
P52146	arsB
P74985	arsB
O50594	arsB
P74311	slr0944
P0A006	arsC
Q01257	arsC
P45947	arsC
P08692	arsC
P52147	arsC
O50595	arsC
P74984	arsC
P74313	arsC
P46003	arsD
P52148	arsD
E8PS81	arsH
P74312	slr0945
Q6N3Y0	RPA3562
B5LWZ8	arsP
P74986	arsR
P15905	arsR
P30338	arsR
P52144	arsR
Q01256	arsR
P45949	arsR
P37309	arsR
P36560	asr
P69228	baeR
D0ZNE3	baeR
P30847	baeS
D0ZNE2	baeS
P28246	bcr
Q8G0Y6	bepC
Q8G2M7	bepD
Q8G2M6	bepE
Q8FWV8	bepF
Q8FWV9	bepG
Q93HR0	bexA
P63697	bfr
P0AB40	bhsA
P39843	blt
P39909	bltD
P39842	bltR
P33449	bmr
P39075	bmrR
Q59465	cadA
P20047	cadC
Q7A320	cadD
Q93TP7	cadR
A7LHQ4	cadX
Q7WZ38	eA
Q8RR17	fieF
D3UGE4	CeuE
P14285	chrA
A4UQR4	chrA
P17551	chrA1
A4UQR5	chrB
P17552	chrB1
P17550	chrC
A4UQR3	chrC
Q5NUZ8	chrE
Q5NUZ7	chrF
A4UQR2	chrF
Q1L9W3	chrI
Q7BD45	chrR
P96977	chrR
Q9I036	PA2807
Q8RTE5	cmeA
Q8RTE4	cmeB
Q8RTE3	cmeC
Q0P9M1	cmeD
Q0P9M0	cmeE
Q0P9L9	cmeF
Q7B8P6	cmeR
P67731	cmtR
P37972	cnrA
B0B0H8	nccA-like
A9DF56	nccA-like
A9DF42	nccA-like
A9DF51	nccA-like
A9DF47	nccA-like
P37973	cnrB
P37974	cnrC
P37978	cnrH
P37975	cnrR
Q5NUX6	cnrT
P56621	cnrY
P75952	comR
P12374	copA
O32220	copA
Q7WYH1	copA
P32113	copA
F4ZBX3	copA
O29777	copA
Q59467	copA
O32619	copA
F4ZCZ9	copA
P12375	copB
F4ZD00	copB
F4ZBX4	copB
O30085	copB
P05425	copB
P12376	copC
F4ZBX9	copC
C6FFR6	copC
P12377	copD
Q7WYG8	copD
C6FFR7	copD
Q58AE1	copJ
Q58AD3	copK
Q5YKV8	copL
O32620	copP
Q9ZM70	copP
Q02540	copR
C6FFR4	copR
C6FFR5	copS
Q02541	copS
Q47839	copY
Q47840	copZ
P0ABI4	corA
P0A2R8	corA
Q9X621	corB
P0A2L3	corC
Q56017	apaG
Q1D6V8	MXAN_3418
H0P0Y2	corR
Q1D6V7	MXAN_3419
H0P0Y3	slr0797
C4WZK5	cpxA
C4WZK6	cpxR
O25884	C694_06845
O25885	C694_06850
O25918	C694_07045
O25917	C694_07040
O32222	csoR
P0A502	ctpC
A0R3A7	ctpD
P63689	ctpG
P77894	ctpV
Q8KWW2	cueA
P36649	cueO
Q8ZL99	STM3650
P0A9G4	cueR
Q8ZRS2	cueO
P38054	cusA
P77239	cusB
P77211	cusC
P77214	cusF
P0ACZ8	cusR
P77485	cusS
P69488	cutA
P67826	cutC
P23930	lnt
P40710	nlpE
D5AV58	RCAP_rcc02110
D5AV59	RCAP_rcc02111
P13511	czcA
P13510	czcB
P13509	czcC
P13512	czcD
Q1LAJ1	czcE
Q1LAJ7	czcP
Q44006	czcR
Q44007	czcS
D3UHQ0	cznA
D3UHP9	cznB
D3UHP8	cznC
Q9RLI8	czrA
Q9RLI9	czrB
Q1LRZ2	dmeF
Q1MJL2	RL1351
Q1MJL3	RL1350
P0CB53	dps
Q8KR86	dpsA
P0AEG4	dsbA
P0A6M2	dsbB
P0AEG6	dsbC
P0CW81	ebrA
P0CW83	ebrB
A8CY69	eefA
A8CY68	eefX
Q8GR72	emeA
Q4KH22	emhA
C1KA85	emhB
Q4KH24	emhC
Q4KH21	emhR
D5CJ69	ECL_03329
P27303	emrA
B2FIC9	emrA
P0AEJ0	emrB
B2FID0	emrB
B2FIC8	Smlt1528
P31442	emrD
A5EYZ6	emrD-3
P23895	emrE
P52599	emrK
P0ACR9	mprA
B2FIC7	Smlt1527
P52600	emrY
P0ACZ4	evgA
P58402	evgS
P0AEK4	fabI
Q9FBC5	fabK
P71079	fabL
Q9KRA3	VC_1738/VC_1739
Q9RQ30	Q9RQ30
Q9RQ29	Q9RQ29
Q7DD70	NMB1843
P35755	fbpA
P71338	fbpB
P44513	fbpC
P15029	fecD
P15031	fecE
P77279	ybbL
P77307	ybbM
P69380	fieF
P42512	fptA
P48632	fpvA
Q9RWK7	DR_0659
P0A582	furA
B0FSM1	queC
P69908	gadA
P69910	gadB
P63235	gadC
P63204	gadE
P63201	gadW
P37639	gadX
Q8ZRG8	STM0352
Q8ZRG9	STM0351
Q8ZRH0	STM0350
P0AER0	glpF
Q8ZRG6	STM0354
Q8ZRG7	STM0353
Q6GW09	Q6GW09
P0AES9	hdeA
P0AET2	hdeB
B6JLI8	hefA
B6JLJ0	hefC
P45272	hmrM
Q9X5V4	hmrR
Q9X5X4	hmrR
P23516	hoxN
P77871	copA
Q48271	copP
B0R6K7	OE_3652F
P27650	hupE
D2WPE1	hupE2
Q43955	hupN
P0C054	ibpA
P0C058	ibpB
P16528	iclR
P0A672	ideR
O31395	irlR
O31396	irlS
A6T6T9	cmr
